"trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint"
"1183-07208-71700-2-d511ea64,20:03:36,20:03:36,6068-50f9c2dd,7,HOWICK,0,0,4.589,0"
"1183-07208-71700-2-d511ea64,20:04:35,20:04:35,6072-af9c2c97,8,HOWICK,0,0,5.125,0"
"1183-07208-71700-2-d511ea64,20:05:15,20:05:15,6074-63b07f1c,9,HOWICK,0,0,5.492,0"
"1183-07208-71700-2-d511ea64,20:06:12,20:06:12,6076-1877f962,10,HOWICK,0,0,6.014,0"
"1183-07208-71700-2-d511ea64,20:06:59,20:06:59,6064-745be838,11,HOWICK,0,0,6.441,0"
"1183-07208-71700-2-d511ea64,20:07:47,20:07:47,6080-670472a8,12,HOWICK,0,0,6.886,0"
"1183-07208-71700-2-d511ea64,20:08:45,20:08:45,6082-7f597288,13,HOWICK,0,0,7.416,0"
"1183-07208-71700-2-d511ea64,20:09:22,20:09:22,2103-a4806e91,14,HOWICK,0,0,7.755,0"
"1183-07208-71700-2-d511ea64,20:09:45,20:09:45,6261-958a3ce5,15,HOWICK,0,0,7.968,0"
"1183-07208-71700-2-d511ea64,20:10:41,20:10:41,6263-40106a9f,16,HOWICK,0,0,8.48,0"
"1183-07208-71700-2-d511ea64,20:11:18,20:11:18,6262-a1343a76,17,HOWICK,0,0,8.816,0"
"1183-07208-71700-2-d511ea64,20:12:00,20:12:00,6264-ea24725e,18,BOTANY,0,0,9.199,0"
"1183-07208-71700-2-d511ea64,20:12:48,20:12:48,1928-fd8571d8,19,BOTANY,0,0,9.605,0"
"1183-07208-71700-2-d511ea64,20:13:16,20:13:16,6270-d2f1d9df,20,BOTANY,0,0,9.85,0"
"1183-07208-71700-2-d511ea64,20:13:55,20:13:55,6272-7ac844e9,21,BOTANY,0,0,10.178,0"
"1183-07208-71700-2-d511ea64,20:14:51,20:14:51,1930-3cd98b18,22,BOTANY,0,0,10.661,0"
"1183-07208-71700-2-d511ea64,20:15:51,20:15:51,6240-152443dc,23,BOTANY,0,0,11.172,0"
