shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1396-03803-3c87ff8c,-36.98684,174.78356,238,5.25
1396-03803-3c87ff8c,-36.9867,174.78354,239,5.266
1396-03803-3c87ff8c,-36.98664,174.78353,240,5.273
1396-03803-3c87ff8c,-36.98659,174.78352,241,5.279
1396-03803-3c87ff8c,-36.98631,174.78347,242,5.31
1396-03803-3c87ff8c,-36.98558,174.78334,243,5.392
1396-03803-3c87ff8c,-36.98545,174.78332,244,5.407
1396-03803-3c87ff8c,-36.98531,174.78327,245,5.423
1396-03803-3c87ff8c,-36.98516,174.78322,246,5.44
1396-03803-3c87ff8c,-36.98382,174.78261,247,5.598
1396-03803-3c87ff8c,-36.98374,174.78255,248,5.608
1396-03803-3c87ff8c,-36.98365,174.7825,249,5.619
1396-03803-3c87ff8c,-36.98359,174.78242,250,5.629
1396-03803-3c87ff8c,-36.98353,174.78232,251,5.64
1396-03803-3c87ff8c,-36.98348,174.78218,252,5.654
1396-03803-3c87ff8c,-36.98328,174.7812,253,5.744
1396-03803-3c87ff8c,-36.98323,174.78099,254,5.764
1396-03803-3c87ff8c,-36.98291,174.78109,255,5.801
1396-03803-3c87ff8c,-36.9829,174.78105,256,5.805
1396-03803-3c87ff8c,-36.98291,174.78109,257,5.809
1396-03803-3c87ff8c,-36.98181,174.78144,258,5.935
1396-03803-3c87ff8c,-36.98167,174.78149,259,5.951
1396-03803-3c87ff8c,-36.98159,174.78154,260,5.961
1396-03803-3c87ff8c,-36.98149,174.7816,261,5.973
1396-03803-3c87ff8c,-36.98143,174.78165,262,5.981
1396-03803-3c87ff8c,-36.98135,174.78171,263,5.991
1396-03803-3c87ff8c,-36.98134,174.7817,264,5.992
1396-03803-3c87ff8c,-36.98133,174.78169,265,5.993
1396-03803-3c87ff8c,-36.98131,174.78167,266,5.996
1396-03803-3c87ff8c,-36.9813,174.78166,267,5.997
1396-03803-3c87ff8c,-36.98128,174.78165,268,5.999
1396-03803-3c87ff8c,-36.98127,174.78165,269,6
1396-03803-3c87ff8c,-36.98125,174.78164,270,6.002
1396-03803-3c87ff8c,-36.98124,174.78164,271,6.003
1396-03803-3c87ff8c,-36.98122,174.78164,272,6.005
1396-03803-3c87ff8c,-36.98121,174.78164,273,6.006
1396-03803-3c87ff8c,-36.9812,174.78164,274,6.007
1396-03803-3c87ff8c,-36.98118,174.78164,275,6.009
1396-03803-3c87ff8c,-36.98116,174.78165,276,6.011
1396-03803-3c87ff8c,-36.98114,174.78166,277,6.013
1396-03803-3c87ff8c,-36.98113,174.78167,278,6.014
1396-03803-3c87ff8c,-36.98111,174.78168,279,6.016
1396-03803-3c87ff8c,-36.9811,174.78169,280,6.017
1396-03803-3c87ff8c,-36.9811,174.7817,281,6.018
1396-03803-3c87ff8c,-36.98109,174.78171,282,6.019
1396-03803-3c87ff8c,-36.98108,174.78172,283,6.02
1396-03803-3c87ff8c,-36.98107,174.78174,284,6.022
1396-03803-3c87ff8c,-36.98106,174.78175,285,6.023
1396-03803-3c87ff8c,-36.98106,174.78176,286,6.024
1396-03803-3c87ff8c,-36.98105,174.78178,287,6.026
1396-03803-3c87ff8c,-36.98105,174.7818,288,6.028
1396-03803-3c87ff8c,-36.98104,174.78182,289,6.03
1396-03803-3c87ff8c,-36.98098,174.78193,290,6.042
1396-03803-3c87ff8c,-36.98093,174.78198,291,6.049
1396-03803-3c87ff8c,-36.98088,174.78203,292,6.056
1396-03803-3c87ff8c,-36.98081,174.78207,293,6.065
1396-03803-3c87ff8c,-36.98073,174.78212,294,6.075
1396-03803-3c87ff8c,-36.98065,174.78216,295,6.085
1396-03803-3c87ff8c,-36.98059,174.78218,296,6.092
1396-03803-3c87ff8c,-36.98052,174.78221,297,6.1
1396-03803-3c87ff8c,-36.98042,174.78223,298,6.111
1396-03803-3c87ff8c,-36.9803,174.78229,299,6.125
1396-03803-3c87ff8c,-36.98023,174.78232,300,6.133
1396-03803-3c87ff8c,-36.98018,174.78232,301,6.139
1396-03803-3c87ff8c,-36.9801,174.78232,302,6.148
1396-03803-3c87ff8c,-36.98001,174.78232,303,6.158
1396-03803-3c87ff8c,-36.97993,174.78231,304,6.167
1396-03803-3c87ff8c,-36.97983,174.78231,305,6.178
1396-03803-3c87ff8c,-36.97983,174.78227,306,6.182
1396-03803-3c87ff8c,-36.97983,174.78231,307,6.186
1396-03803-3c87ff8c,-36.97981,174.78231,308,6.188
1396-03803-3c87ff8c,-36.97971,174.78231,309,6.199
1396-03803-3c87ff8c,-36.97961,174.78232,310,6.21
1396-03803-3c87ff8c,-36.97951,174.78233,311,6.221
1396-03803-3c87ff8c,-36.97938,174.78236,312,6.236
1396-03803-3c87ff8c,-36.97923,174.7824,313,6.253
1396-03803-3c87ff8c,-36.97914,174.78243,314,6.263
1396-03803-3c87ff8c,-36.97905,174.78246,315,6.273
1396-03803-3c87ff8c,-36.97891,174.78252,316,6.289
1396-03803-3c87ff8c,-36.97882,174.78256,317,6.3
1396-03803-3c87ff8c,-36.97868,174.78264,318,6.317
1396-03803-3c87ff8c,-36.9786,174.78269,319,6.327
1396-03803-3c87ff8c,-36.97847,174.78278,320,6.344
1396-03803-3c87ff8c,-36.97835,174.78287,321,6.36
1396-03803-3c87ff8c,-36.9783,174.78291,322,6.367
1396-03803-3c87ff8c,-36.9782,174.783,323,6.381
1396-03803-3c87ff8c,-36.97811,174.7831,324,6.394
1396-03803-3c87ff8c,-36.97801,174.7832,325,6.408
1396-03803-3c87ff8c,-36.97786,174.78337,326,6.43
1396-03803-3c87ff8c,-36.97777,174.78347,327,6.443
1396-03803-3c87ff8c,-36.97772,174.78352,328,6.45
1396-03803-3c87ff8c,-36.97763,174.78361,329,6.463
1396-03803-3c87ff8c,-36.97753,174.78369,330,6.476
1396-03803-3c87ff8c,-36.97742,174.78378,331,6.491
1396-03803-3c87ff8c,-36.97741,174.78379,332,6.492
